apn_stripped,year,sold_date,certificate_number,tsi_tax_amount,tsi_tax_penalty,tsi_costs,tsi_fee,tsi_total_sold,extension_date,ssi_tax_amount,ssi_penalty,ssi_costs,ssi_back_tax_drainage,ssi_total,total_due,fips
0126253019,2021,11/1/2021,202100023,3013.88,106.96,104.00,89.73,3776.17,05/01/2024,0.00,0.00,0.00,0.00,0.00,3865.9,11723
0126300004,2022,10/31/2022,202200023,1102.32,57.87,104.00,90.50,1264.19,05/01/2025,0.00,0.00,0.00,0.00,0.00,1354.69,11723
0203400081,2022,10/31/2022,202200040,2184.98,114.71,104.00,90.50,2403.69,05/01/2025,0.00,0.00,0.00,0.00,0.00,2494.19,11723
0229451004,2021,11/1/2021,202100113,6301.84,436.98,104.00,89.73,8864.34,05/01/2024,6408.00,444.43,40.00,0.00,8949.69,18977.72,11723
0317431006,2022,10/31/2022,202200245,10633.98,558.28,104.00,90.50,11296.26,05/01/2025,0.00,0.00,0.00,0.00,0.00,11386.76,11723
0324205068,2022,10/31/2022,202200292,2891.36,151.80,104.00,90.50,3147.16,05/01/2025,0.00,0.00,0.00,0.00,0.00,3237.66,11723
0532200033,2022,10/31/2022,202200388,374.40,19.66,104.00,90.50,498.06,05/01/2025,0.00,0.00,0.00,0.00,0.00,588.56,11723
0612427020,2021,11/1/2021,202100471,3839.40,201.57,104.00,89.73,4144.97,05/01/2024,4133.96,217.03,40.00,0.00,4390.99,9152.61,11723
0615227001,2022,10/31/2022,202200567,3268.20,98.05,134.00,90.50,3500.25,05/01/2025,0.00,0.00,0.00,0.00,0.00,3590.75,11723
0622280001,2022,10/31/2022,202200617,5160.22,270.91,104.00,90.50,5535.13,05/01/2025,0.00,0.00,0.00,0.00,0.00,5625.63,11723
0624257019,2022,10/31/2022,202200645,2288.42,120.15,104.00,90.50,2512.57,05/01/2025,0.00,0.00,0.00,0.00,0.00,2603.07,11723
0818100004,2022,10/31/2022,202200762,679.08,35.66,104.00,90.50,818.74,05/01/2025,0.00,0.00,0.00,0.00,0.00,909.24,11723
0933276002,2022,10/31/2022,202200905,3303.41,99.10,104.00,90.50,3506.51,05/01/2025,0.00,0.00,0.00,0.00,0.00,3597.01,11723
1203201013,2021,11/1/2021,202100927,19122.74,1003.94,104.00,89.73,20230.68,05/01/2024,2740.30,143.86,40.00,0.00,2924.16,23595.47,11723
1210309025,2022,10/31/2022,202200985,2320.34,69.61,104.00,90.50,2493.95,05/01/2025,0.00,0.00,0.00,0.00,0.00,2584.45,11723
1215429048,2022,10/31/2022,202200996,5066.32,265.98,104.00,90.50,5436.3,05/01/2025,0.00,0.00,0.00,0.00,0.00,5526.8,11723
1227176003,2022,10/31/2022,202201022,3013.55,90.41,104.00,90.50,3207.96,05/01/2025,0.00,0.00,0.00,0.00,0.00,3298.46,11723
1232301013,2022,10/31/2022,202201028,8723.02,457.96,104.00,90.50,9284.98,05/01/2025,0.00,0.00,0.00,0.00,0.00,9375.48,11723
1334200017,2022,10/31/2022,202201059,4288.56,225.15,104.00,90.50,4617.71,05/01/2025,0.00,0.00,0.00,0.00,0.00,4708.21,11723
1435404030,2022,10/31/2022,202201127,8319.76,437.32,104.00,90.50,8871.08,05/01/2025,0.00,0.00,0.00,0.00,0.00,8961.58,11723
1507433006,2022,10/31/2022,202201155,4507.78,236.66,104.00,90.50,4848.44,05/01/2025,0.00,0.00,0.00,0.00,0.00,4938.94,11723
